framework,version,object,description,text
DoDAF,2.02,AV-1 Overview and Summary Information,"Narrative that scopes the architecture effort, identifies stakeholders, and records context and assumptions for decision makers.","DoDAF 2.02 | AV-1 Overview and Summary Information - Narrative that scopes the architecture effort, identifies stakeholders, and records context and assumptions for decision makers."
DoDAF,2.02,AV-2 Integrated Dictionary,"Authoritative glossary aligning all data elements, acronyms, and semantic relationships used throughout the architecture views.","DoDAF 2.02 | AV-2 Integrated Dictionary - Authoritative glossary aligning all data elements, acronyms, and semantic relationships used throughout the architecture views."
DoDAF,2.02,CV-1 Vision,High-level operational problem statement and desired end-state that motivates capability development.,DoDAF 2.02 | CV-1 Vision - High-level operational problem statement and desired end-state that motivates capability development.
DoDAF,2.02,CV-2 Capability Taxonomy,Decomposes enterprise capabilities into a structured hierarchy showing parent-child relationships.,DoDAF 2.02 | CV-2 Capability Taxonomy - Decomposes enterprise capabilities into a structured hierarchy showing parent-child relationships.
DoDAF,2.02,CV-3 Capability Phasing,Timeline view that sequences capability increments and identifies IOC/FOC targets.,DoDAF 2.02 | CV-3 Capability Phasing - Timeline view that sequences capability increments and identifies IOC/FOC targets.
DoDAF,2.02,CV-4 Capability Dependencies,Matrix that highlights prerequisite or complementary relationships between capabilities.,DoDAF 2.02 | CV-4 Capability Dependencies - Matrix that highlights prerequisite or complementary relationships between capabilities.
DoDAF,2.02,CV-5 Capability to Organizational Development Mapping,Shows which organizations are responsible for delivering specific capability development activities.,DoDAF 2.02 | CV-5 Capability to Organizational Development Mapping - Shows which organizations are responsible for delivering specific capability development activities.
DoDAF,2.02,CV-6 Capability to Operational Activities Mapping,Links operational activities to the capabilities that enable or improve them to reveal coverage gaps.,DoDAF 2.02 | CV-6 Capability to Operational Activities Mapping - Links operational activities to the capabilities that enable or improve them to reveal coverage gaps.
DoDAF,2.02,OV-1 High-Level Operational Concept Graphic,"Infographic that communicates the mission context, key stakeholders, and high-level operational threads.","DoDAF 2.02 | OV-1 High-Level Operational Concept Graphic - Infographic that communicates the mission context, key stakeholders, and high-level operational threads."
DoDAF,2.02,OV-2 Operational Resource Flow Description,"Shows operational nodes and the information, materiel, or energy flows exchanged between them.","DoDAF 2.02 | OV-2 Operational Resource Flow Description - Shows operational nodes and the information, materiel, or energy flows exchanged between them."
DoDAF,2.02,OV-3 Operational Resource Flow Matrix,"Tabular detail for each OV-2 exchange, including triggering events, performance measures, and security needs.","DoDAF 2.02 | OV-3 Operational Resource Flow Matrix - Tabular detail for each OV-2 exchange, including triggering events, performance measures, and security needs."
DoDAF,2.02,OV-4 Organizational Relationships Chart,"Command, control, and coordination relationships among organizations, roles, or mission partners.","DoDAF 2.02 | OV-4 Organizational Relationships Chart - Command, control, and coordination relationships among organizations, roles, or mission partners."
DoDAF,2.02,OV-5a Operational Activity Decomposition Tree,Hierarchical breakdown of operational activities that exposes scope boundaries and reusable tasks.,DoDAF 2.02 | OV-5a Operational Activity Decomposition Tree - Hierarchical breakdown of operational activities that exposes scope boundaries and reusable tasks.
DoDAF,2.02,OV-5b Operational Activity Model,"Swimlane-style model describing activity inputs, outputs, sequencing, and responsible performers.","DoDAF 2.02 | OV-5b Operational Activity Model - Swimlane-style model describing activity inputs, outputs, sequencing, and responsible performers."
DoDAF,2.02,OV-6a Operational Rules Model,Business rules and constraints that govern how operational activities must execute.,DoDAF 2.02 | OV-6a Operational Rules Model - Business rules and constraints that govern how operational activities must execute.
DoDAF,2.02,OV-6b Operational State Transition Description,Depicts states of an operational node and the events that trigger transitions between states.,DoDAF 2.02 | OV-6b Operational State Transition Description - Depicts states of an operational node and the events that trigger transitions between states.
DoDAF,2.02,OV-6c Event-Trace Description,Sequence diagram that traces events across operational nodes to validate timing and interactions.,DoDAF 2.02 | OV-6c Event-Trace Description - Sequence diagram that traces events across operational nodes to validate timing and interactions.
DoDAF,2.02,SV-1 Systems Interface Description,"Graph of systems, their components, and the interfaces needed to satisfy operational exchanges.","DoDAF 2.02 | SV-1 Systems Interface Description - Graph of systems, their components, and the interfaces needed to satisfy operational exchanges."
DoDAF,2.02,SV-2 Systems Resource Flow Description,"Details resource flows between system ports, including protocols, media, and performance constraints.","DoDAF 2.02 | SV-2 Systems Resource Flow Description - Details resource flows between system ports, including protocols, media, and performance constraints."
DoDAF,2.02,SV-4a Systems Functionality Description,"Displays system functions, their inputs/outputs, and allocations to components.","DoDAF 2.02 | SV-4a Systems Functionality Description - Displays system functions, their inputs/outputs, and allocations to components."
DoDAF,2.02,SV-5a Operational Activity to System Function Traceability,Matrix proving that every operational activity is supported by specific system functions.,DoDAF 2.02 | SV-5a Operational Activity to System Function Traceability - Matrix proving that every operational activity is supported by specific system functions.
DoDAF,2.02,SV-8 Systems Evolution Description,Roadmap showing planned technology insertions and configuration baselines across time.,DoDAF 2.02 | SV-8 Systems Evolution Description - Roadmap showing planned technology insertions and configuration baselines across time.
DoDAF,2.02,SV-9 Systems Technology & Skills Forecast,Assesses technology trends and workforce skill needs that could impact systems of interest.,DoDAF 2.02 | SV-9 Systems Technology & Skills Forecast - Assesses technology trends and workforce skill needs that could impact systems of interest.
DoDAF,2.02,SV-10c Systems Event-Trace Description,"System-level sequence diagram confirming timing, latency, and protocol compatibility across components.","DoDAF 2.02 | SV-10c Systems Event-Trace Description - System-level sequence diagram confirming timing, latency, and protocol compatibility across components."
DoDAF,2.02,SvcV-1 Services Context Description,"Defines service providers, consumers, and required contracts for mission scenarios.","DoDAF 2.02 | SvcV-1 Services Context Description - Defines service providers, consumers, and required contracts for mission scenarios."
DoDAF,2.02,SvcV-4 Services Functionality Description,"Service functions, the resources they manipulate, and allocation to service components.","DoDAF 2.02 | SvcV-4 Services Functionality Description - Service functions, the resources they manipulate, and allocation to service components."
DoDAF,2.02,SvcV-5 Operational Activity to Services Traceability,Crosswalk that verifies operational activities are fully supported by available or planned services.,DoDAF 2.02 | SvcV-5 Operational Activity to Services Traceability - Crosswalk that verifies operational activities are fully supported by available or planned services.
DoDAF,2.02,StdV-1 Standards Profile,"Lists applicable technical, data, and interface standards with tailoring guidance.","DoDAF 2.02 | StdV-1 Standards Profile - Lists applicable technical, data, and interface standards with tailoring guidance."
DoDAF,2.02,PV-2 Project Timelines,"Integrated master schedule showing key acquisition events, dependencies, and milestone risks.","DoDAF 2.02 | PV-2 Project Timelines - Integrated master schedule showing key acquisition events, dependencies, and milestone risks."
DoDAF,2.02,DIV-2 Logical Data Model,Entity-relationship view that harmonizes operational and system data requirements.,DoDAF 2.02 | DIV-2 Logical Data Model - Entity-relationship view that harmonizes operational and system data requirements.
MODAF,1.2,StV-1 Enterprise Vision,Articulates strategic goals and capability outcomes the UK MOD enterprise pursues.,MODAF 1.2 | StV-1 Enterprise Vision - Articulates strategic goals and capability outcomes the UK MOD enterprise pursues.
MODAF,1.2,StV-2 Capability Taxonomy,Organizes MOD capability concepts into a taxonomy to support force-planning debates.,MODAF 1.2 | StV-2 Capability Taxonomy - Organizes MOD capability concepts into a taxonomy to support force-planning debates.
MODAF,1.2,StV-4 Capability Dependencies,Highlights logical dependency and synergy relationships between capability elements.,MODAF 1.2 | StV-4 Capability Dependencies - Highlights logical dependency and synergy relationships between capability elements.
